quxian_url,shangquan,start_url
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,北新泾,http://fangjia.fang.com//pghouse-c0sh/a020-b02075-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,古北,http://fangjia.fang.com//pghouse-c0sh/a020-b01617-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,虹桥,http://fangjia.fang.com//pghouse-c0sh/a020-b01619-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,天山,http://fangjia.fang.com//pghouse-c0sh/a020-b01621-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,西郊,http://fangjia.fang.com//pghouse-c0sh/a020-b05251-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,仙霞,http://fangjia.fang.com//pghouse-c0sh/a020-b013642-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,新华路,http://fangjia.fang.com//pghouse-c0sh/a020-b01620-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,镇宁路,http://fangjia.fang.com//pghouse-c0sh/a020-b05701-h315/
http://fangjia.fang.com/pghouse-c0sh/a020-h315/,中山公园,http://fangjia.fang.com//pghouse-c0sh/a020-b01618-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,曹杨,http://fangjia.fang.com//pghouse-c0sh/a028-b01657-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,长风,http://fangjia.fang.com//pghouse-c0sh/a028-b01658-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,长寿路,http://fangjia.fang.com//pghouse-c0sh/a028-b01655-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,长征,http://fangjia.fang.com//pghouse-c0sh/a028-b01662-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,光新,http://fangjia.fang.com//pghouse-c0sh/a028-b05252-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,甘泉,http://fangjia.fang.com//pghouse-c0sh/a028-b021930-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,桃浦,http://fangjia.fang.com//pghouse-c0sh/a028-b05254-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,万里,http://fangjia.fang.com//pghouse-c0sh/a028-b01660-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,武宁,http://fangjia.fang.com//pghouse-c0sh/a028-b01656-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,宜川,http://fangjia.fang.com//pghouse-c0sh/a028-b010327-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,真光,http://fangjia.fang.com//pghouse-c0sh/a028-b01659-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,真如,http://fangjia.fang.com//pghouse-c0sh/a028-b05253-h315/
http://fangjia.fang.com/pghouse-c0sh/a028-h315/,中远两湾城,http://fangjia.fang.com//pghouse-c0sh/a028-b01661-h315/
